symbol,edge_name,category,horizon_bars,direction,n_signals,hit_rate,mean_return_bps,std_return_bps,sharpe,t_stat,p_value,expectancy_bps,edge_score,sample_pct
XLI,momo_5d_strong_up,MOMENTUM,390,long,405,0.7877,594.84,709.75,1.718,16.867,0.0,240912.0,16.867,7.99
ES=F,dow_midweek,TIME_OF_DAY,100,long,8275,0.6234,36.15,195.08,0.75,16.858,0.0,299160.8,16.858,60.5
XLK,dow_midweek,TIME_OF_DAY,100,long,3027,0.6452,168.82,551.02,1.24,16.856,0.0,511019.0,16.856,59.68
SI=F,trend_below_50sma,MOMENTUM,100,long,5883,0.6124,126.47,575.88,0.889,16.844,0.0,743994.1,16.844,42.9
XLF,dow_friday,TIME_OF_DAY,390,long,954,0.7254,351.57,644.87,1.117,16.839,0.0,335397.7,16.839,18.79
ES=F,vol_compression_then_expansion,GAMMA_PROXY,390,long,2797,0.7011,105.27,330.98,0.652,16.821,0.0,294436.2,16.821,20.45
GLD,bbz_above_2,MEAN_REV,390,long,338,0.7899,768.03,840.01,1.874,16.809,0.0,259594.1,16.809,6.67
SPY,tick_imb_negative,ORDERFLOW,100,long,1032,0.7471,175.46,335.39,2.117,16.806,0.0,181074.1,16.806,20.36
SI=F,inside_bar,STRUCTURE,390,long,1967,0.6772,429.07,1135.22,0.775,16.763,0.0,843974.8,16.763,14.35
USO,dow_midweek,TIME_OF_DAY,390,long,2847,0.5444,703.92,2245.26,0.643,16.728,0.0,2004068.1,16.728,56.13
SLV,tick_imb_positive,ORDERFLOW,390,long,985,0.6985,984.04,1847.59,1.092,16.716,0.0,969275.1,16.716,19.44
XLI,close_at_high,ORDERFLOW,390,long,646,0.7337,418.11,636.05,1.347,16.708,0.0,270101.3,16.708,12.74
QQQ,tick_imb_negative,ORDERFLOW,100,long,1048,0.791,231.84,449.68,2.087,16.69,0.0,242967.6,16.69,20.67
XLY,tick_imb_negative,ORDERFLOW,390,long,943,0.7423,456.83,842.62,1.111,16.649,0.0,430787.1,16.649,18.59
MDY,momo_acceleration_neg,MOMENTUM,390,long,1723,0.7255,267.21,666.49,0.822,16.642,0.0,460403.9,16.642,33.97
NQ=F,dow_midweek,TIME_OF_DAY,100,long,8272,0.6123,46.94,257.36,0.738,16.587,0.0,388254.7,16.587,60.49
SPY,trend_above_50sma,MOMENTUM,100,long,3076,0.7087,90.68,303.37,1.21,16.579,0.0,278944.3,16.579,60.69
GC=F,close_at_low,ORDERFLOW,390,long,958,0.7338,257.94,482.93,1.095,16.532,0.0,247110.1,16.532,6.98
XLB,trend_below_50sma,MOMENTUM,390,long,2108,0.6248,255.16,709.96,0.737,16.501,0.0,537887.0,16.501,41.56
XLC,range_contraction,VOL_REGIME,390,long,394,0.8096,490.08,589.56,1.704,16.5,0.0,193091.2,16.5,7.77
DIA,vol_compression_then_expansion,GAMMA_PROXY,390,long,842,0.7162,292.05,513.74,1.165,16.496,0.0,245906.6,16.496,16.61
HG=F,trend_above_50sma,MOMENTUM,100,long,7472,0.5869,64.0,335.5,0.772,16.49,0.0,478215.8,16.49,54.5
ES=F,cvd_rising_strong,ORDERFLOW,390,long,2584,0.7024,118.07,364.05,0.665,16.486,0.0,305083.7,16.486,18.89
NQ=F,inside_bar,STRUCTURE,390,long,1946,0.7071,184.52,494.79,0.764,16.451,0.0,359073.3,16.451,14.23
GLD,rsi_oversold_30,MEAN_REV,100,long,380,0.8316,315.11,373.46,3.415,16.448,0.0,119741.6,16.448,7.5
QQQ,tod_open_hour,TIME_OF_DAY,390,long,673,0.7444,502.1,792.44,1.299,16.437,0.0,337913.4,16.437,13.28
CPER,trend_above_50sma,MOMENTUM,390,long,2541,0.5785,306.38,941.33,0.667,16.406,0.0,778502.8,16.406,50.21
SPY,tod_power_hour,TIME_OF_DAY,390,long,913,0.7536,338.24,624.05,1.111,16.377,0.0,308817.4,16.377,18.01
NQ=F,cvd_rising_strong,ORDERFLOW,390,long,2774,0.6738,158.59,512.21,0.635,16.307,0.0,439922.0,16.307,20.29
NG=F,golden_cross_state,MOMENTUM,390,long,6273,0.574,344.29,1672.39,0.422,16.305,0.0,2159747.8,16.305,46.57
XLF,dow_monday,TIME_OF_DAY,390,long,885,0.7571,357.47,652.51,1.123,16.298,0.0,316361.6,16.298,17.43
SI=F,rsi_oversold_30,MEAN_REV,390,long,529,0.7656,560.65,793.46,1.448,16.252,0.0,296585.1,16.252,3.86
USO,trend_above_50sma,MOMENTUM,390,long,2524,0.519,801.01,2478.24,0.662,16.238,0.0,2021749.2,16.238,49.76
XLRE,golden_cross_state,MOMENTUM,390,long,2357,0.549,192.48,578.06,0.682,16.166,0.0,453680.2,16.166,46.47
XLK,dow_friday,TIME_OF_DAY,390,long,948,0.6962,549.9,1047.57,1.076,16.162,0.0,521303.1,16.162,18.69
GC=F,bbz_below_2,MEAN_REV,390,long,680,0.7426,292.25,471.65,1.27,16.158,0.0,198726.6,16.158,4.96
XLK,dow_monday,TIME_OF_DAY,390,long,887,0.6855,563.61,1039.03,1.112,16.155,0.0,499923.6,16.155,17.49
XLK,trend_below_50sma,MOMENTUM,100,long,2021,0.6403,199.2,554.91,1.453,16.138,0.0,402577.4,16.138,39.85
XLC,death_cross_state,MOMENTUM,100,long,1480,0.6966,181.64,432.99,1.698,16.138,0.0,268820.9,16.138,29.18
XLRE,rvol_high_decile,VOL_REGIME,390,long,493,0.7505,443.53,612.02,1.485,16.091,0.0,218660.7,16.091,9.72
RTY=F,dow_monday,TIME_OF_DAY,390,long,2583,0.6562,161.16,509.3,0.648,16.082,0.0,416274.7,16.082,18.85
USO,golden_cross_state,MOMENTUM,100,long,2477,0.6064,331.67,1026.45,1.308,16.082,0.0,821544.2,16.082,48.84
SI=F,vol_compression_then_expansion,GAMMA_PROXY,100,long,2681,0.5908,161.53,522.77,1.251,15.999,0.0,433057.5,15.999,19.55
XLY,golden_cross_state,MOMENTUM,390,long,2764,0.6371,257.55,848.2,0.622,15.963,0.0,711862.5,15.963,54.5
